numRiders,mean_a,mean_d,std_a,std_d,max_a,max_d,min_a,min_d,,
20,174.5,376.8,97.9,212.5,352.7,753.3,3.7,4.3,,
22,139.6,336.3,77.9,189.2,283.6,672.9,3.5,4.3,,
24,110.9,302.5,61.2,169.8,226.8,606.1,3.3,4.2,,
26,88.1,271.2,47.9,151.7,181.4,543.7,3.0,4.1,,
28,73.4,243.3,39.5,135.5,152.3,488.0,2.7,3.9,,
30,63.6,217.1,33.8,120.3,132.9,435.9,2.5,3.8,,
32,56.6,192.8,29.8,106.4,119.0,388.0,2.4,3.6,,
34,51.3,171.3,26.8,94.3,108.7,345.8,2.3,3.4,,
36,47.3,153.8,24.5,84.4,100.6,311.0,2.2,3.2,,
38,44.0,139.7,22.6,76.4,94.2,283.2,2.1,3.0,,
40,41.4,128.2,21.1,70.0,89.0,260.3,2.1,2.8,,
42,39.2,118.5,19.8,64.5,84.6,241.3,2.0,2.7,,
44,37.4,110.4,18.8,60.0,80.9,225.1,2.0,2.6,,
46,35.8,103.4,17.9,56.0,77.8,211.3,2.0,2.5,,
48,34.4,97.4,17.1,52.6,75.0,199.3,2.0,2.4,,
50,33.2,92.1,16.4,49.7,72.7,188.8,1.9,2.3,,