numRiders,mean,median,upper_quantile,lower_quantile,std,percentage simulations with no drop-out
20,0.411710,0.414750,0.426125,0.394000,0.020808,0
22,0.346660,0.346000,0.360250,0.334375,0.021032,0
24,0.279255,0.281250,0.299125,0.260000,0.025275,0
26,0.216045,0.214250,0.234125,0.194750,0.032168,0
28,0.152385,0.153500,0.172250,0.130875,0.030997,0
30,0.082640,0.083750,0.103250,0.063250,0.029415,0
32,0.030020,0.026250,0.040250,0.015375,0.018886,0
34,0.006130,0.003500,0.008125,0.001375,0.008057,0.1
36,0.001895,0.000250,0.002500,0.000000,0.003275,0.5
38,0.000245,0.000000,0.000000,0.000000,0.000848,0.86
40,0.000025,0.000000,0.000000,0.000000,0.000131,0.96
42,0.000010,0.000000,0.000000,0.000000,0.000100,0.99
44,0.000000,0.000000,0.000000,0.000000,0.000000,1