,Average Waiting Time_Default(s),Average Waiting Time_Anticipation(s),Difference(s),,if better
,2409.384714,2421.245811,-11.86109675,,0
,2507.92768,2358.841982,149.085698,,1
,2706.300925,2587.761953,118.5389727,,1
,2606.645702,2687.771402,-81.12569978,,0
,2589.703293,2600.816089,-11.11279603,,0
,2599.216719,2519.792444,79.4242755,,1
,2450.544443,2402.685805,47.85863769,,1
,2659.368803,2606.137125,53.23167815,,1
,2615.683797,2673.239376,-57.55557907,,0
,2530.835456,2634.211299,-103.3758429,,0
,2770.141725,2732.154633,37.9870917,,1
,2510.676565,2544.892005,-34.21544007,,0
,2602.726177,2627.026577,-24.30040058,,0
,2341.177749,2238.793173,102.3845757,,1
,2338.907708,2396.643489,-57.7357806,,0
,2502.015671,2654.430606,-152.4149349,,0
,2788.079066,2808.104041,-20.0249749,,0
,2189.340154,2234.929738,-45.58958446,,0
,2593.92,2505.091127,88.82887341,,1
,2398.337782,2415.91765,-17.57986838,,0
,2359.477016,2439.633988,-80.15697168,,0
,2889.224572,2815.217871,74.00670076,,1
,2542.556471,2499.733521,42.82295057,,1
,2604.516811,2653.290037,-48.77322564,,0
,2550.810442,2521.301486,29.50895606,,1
,2840.399675,2967.293866,-126.8941909,,0
,2455.315989,2618.963651,-163.6476629,,0
,2372.599512,2413.598713,-40.99920124,,0
,2553.18676,2574.061567,-20.87480685,,0
,2686.235851,2636.062918,50.17293349,,1
,2531.6669,2624.775919,-93.10901833,,0
,2439.760763,2449.709551,-9.94878826,,0
,2513.078242,2605.597787,-92.51954505,,0
,2318.417838,2248.614155,69.80368244,,1
,2671.292658,2649.991622,21.3010355,,1
,2499.276699,2421.954101,77.32259776,,1
,2229.474185,2184.303098,45.17108746,,1
,2727.964632,2575.533074,152.4315587,,1
,2658.247051,2732.280024,-74.03297248,,0
,2915.358586,2923.374543,-8.015957205,,0
,2684.533252,2364.642661,319.8905913,,1
,2514.446203,2713.019967,-198.573764,,0
,2524.83169,2650.41684,-125.5851501,,0
,2631.608532,2849.806715,-218.1981833,,0
,2586.806066,2509.433412,77.3726537,,1
,2597.995852,2717.049893,-119.0540415,,0
,2612.356047,2554.925858,57.43018943,,1
,2854.080963,2813.77988,40.30108286,,1
,2675.842272,2835.81437,-159.9720983,,0
,2213.245182,2186.959255,26.28592685,,1
,2575.175808,2442.492691,132.6831172,,1
,2442.911878,2440.926967,1.984911118,,1
,2362.010622,2406.44408,-44.43345788,,0
,2526.531594,2508.037804,18.49378996,,1
,2487.669795,2612.978301,-125.3085062,,0
,2549.050581,2536.648225,12.40235609,,1
,2667.475178,2567.832225,99.64295298,,1
,2817.529197,2838.641582,-21.11238452,,0
,2759.922943,2588.418647,171.5042956,,1
,2200.755452,2183.35885,17.3966024,,1
,2422.836642,2405.597884,17.23875775,,1
,2646.554287,2703.750457,-57.19616991,,0
,2638.457128,2643.619198,-5.162070071,,0
,2540.358144,2600.767942,-60.40979732,,0
,2602.375488,2531.921725,70.45376344,,1
,2701.318469,2759.808735,-58.49026601,,0
,2522.669356,2436.21406,86.45529583,,1
,2282.306463,2363.151674,-80.84521043,,0
,2484.128377,2498.665438,-14.53706107,,0
,2554.890901,2523.672794,31.21810711,,1
,2451.626,2365.330992,86.29500869,,1
,2491.598822,2624.695729,-133.0969079,,0
,2419.958345,2350.339211,69.61913421,,1
,2545.380051,2535.736015,9.644036267,,1
,2761.355126,2602.953718,158.4014082,,1
,2939.418862,2839.833575,99.58528634,,1
,2320.549453,2385.123139,-64.57368646,,0
,2847.780058,2784.134052,63.64600635,,1
,2499.86853,2555.829064,-55.96053433,,0
,2455.927101,2451.982078,3.945022371,,1
,2734.23934,2914.367242,-180.1279025,,0
,2509.575843,2418.116129,91.45971382,,1
,2881.250455,2909.047401,-27.79694622,,0
,2585.729621,2561.423827,24.30579446,,1
,2486.167118,2523.748641,-37.58152286,,0
,2603.87041,2623.261574,-19.3911642,,0
,2573.108861,2523.246891,49.86197005,,1
,2551.812832,2564.814607,-13.00177492,,0
,2384.217761,2317.906694,66.31106654,,1
,2847.915271,2861.935048,-14.01977682,,0
,2367.570332,2289.704785,77.86554695,,1
,2646.22138,2614.957847,31.26353309,,1
,2668.19656,2695.879183,-27.68262322,,0
,2357.612047,2328.376896,29.23515098,,1
,2846.358514,2924.632135,-78.27362111,,0
,2806.811326,2637.538539,169.2727869,,1
,2561.986584,2641.94767,-79.96108594,,0
,2449.154369,2477.040409,-27.88604003,,0
,2531.619899,2491.413342,40.20655716,,1
,2699.843401,2668.153015,31.69038569,,1
average,2565.771934,2564.780454,0.991480212,sum,50