Order Index,Order-in Time,Rider Index,Rider Arrives at Restaurant,Order Delivered Time,Waiting Time,DT,Time taken before delivery
0,21,87,101.6225775,958.5035494,937.5035494,856.8809719,80.62257748
1,56,35,111.9016994,717.7812254,661.7812254,605.879526,55.90169944
2,87,98,131.1021541,379.5875662,292.5875662,248.485412,44.10215414
3,122,63,185.5295207,848.2368467,726.2368467,662.707326,63.5295207
4,148,61,226.4474346,397.8008705,249.8008705,171.3534359,78.44743463
5,185,15,235.9116882,1029.919875,844.9198746,794.0081864,50.91168825
6,214,95,258.5533388,1074.509833,860.5098328,815.9564939,44.55333882
7,247,69,359.4455424,978.9138628,731.9138628,619.4683204,112.4455424
8,281,49,320.6988665,812.3949108,531.3949108,491.6960443,39.69886648
9,312,48,383.4212853,476.0549725,164.0549725,92.63368718,71.42128534
10,344,84,408.0312424,715.3893397,371.3893397,307.3580973,64.03124237
11,380,75,444.498062,629.444,249.444,184.945938,64.49806199
12,407,48,704.3919972,1136.717106,729.7171064,432.3251091,297.3919972
13,445,31,495.2195181,805.80606,360.80606,310.5865419,50.21951812
14,479,99,576.1699542,1130.839225,651.839225,554.6692708,97.1699542
15,512,45,604.779308,764.810555,252.810555,160.0312469,92.77930804
16,537,31,670.8207757,1374.773189,837.7731888,703.9524132,133.8207757
17,567,88,610.1856458,1060.096748,493.0967481,449.9111023,43.18564576
18,593,45,699.0047169,1083.088041,490.0880412,384.0833243,106.0047169
19,623,75,813.9371624,1022.131783,399.1317829,208.1946205,190.9371624
20,653,49,845.608411,1370.863587,717.8635871,525.2551761,192.608411
21,683,16,780.2933708,1272.508771,589.5087708,492.2154,97.29337079
22,713,88,881.4042755,1337.474446,624.4744455,456.07017,168.4042755
23,747,4,802.5427763,1243.361333,496.3613331,440.8185568,55.54277631
24,772,45,840.8839604,1631.466657,859.4666569,790.5826965,68.8839604
25,794,4,996.2325394,1534.414665,740.4146647,538.1821253,202.2325394
26,826,16,977.0761397,1463.414499,637.4144993,486.3383596,151.0761397
27,849,6,915.5281895,1177.402205,328.402205,261.8740155,66.52818951
28,881,6,1445.486492,1947.372934,1066.372934,501.8864413,564.4864923
29,916,10,920.1231056,1145.54715,229.5471505,225.4240449,4.123105626
30,946,10,1469.545605,2101.903889,1155.903889,632.3582845,523.5456045
31,984,75,1192.19462,1579.199788,595.1997884,387.0051679,208.1946205
32,1010,34,1071.294372,1420.701012,410.7010116,349.4066399,61.29437168
33,1039,34,1559.603496,2418.542958,1379.542958,858.9394624,520.603496
34,1066,95,1298.107734,2207.421761,1141.421761,909.3140272,232.1077336
35,1099,48,1130.016125,1657.554749,558.554749,527.5386242,31.01612484
36,1129,52,1222.150416,1310.445376,181.4453762,88.29496022,93.15041599
37,1153,52,1241.29496,1436.461556,283.4615557,195.1665955,88.29496022
38,1183,52,1532.057302,1733.477261,550.4772612,201.4199593,349.0573019
39,1204,69,1260.885851,2275.996682,1071.996682,1015.110831,56.88585061
40,1242,52,1485.741667,2154.744656,912.7446561,669.0029895,243.7416665
41,1275,67,1336.846584,1714.106442,439.1064418,377.2598574,61.84658438
42,1313,67,1463.651917,1685.63615,372.6361504,221.9842337,150.6519167
43,1342,67,1683.162718,2260.994873,918.9948733,577.8321556,341.1627178
44,1368,59,1474.301458,1765.967363,397.9673629,291.6659048,106.3014581
45,1399,59,1912.272832,2127.697993,728.697993,215.425161,513.2728319
46,1435,59,1650.425161,2192.62162,757.6216199,542.1964589,215.425161
47,1469,97,1540.867934,2104.091691,635.091691,563.2237566,71.86793444
48,1502,97,2402.680298,3333.41012,1831.41012,930.7298212,900.6802984
49,1539,10,1733.589311,1915.998192,376.9981925,182.4088814,194.5893111
50,1555,75,1655.722391,1820.722391,265.7223908,165,100.7223908
51,1586,83,1664.339007,2244.339869,658.339869,580.0008621,78.33900689
52,1622,83,2170.362107,2707.569702,1085.569702,537.2075949,548.3621066
53,1650,48,1926.342179,1998.467071,348.4670709,72.12489168,276.3421792
54,1683,6,2040.435309,2685.919623,1002.919623,645.4843143,357.4353088
55,1717,90,1763.065171,2503.892412,786.8924115,740.8272403,46.06517123
56,1749,90,1869.880106,1923.143602,174.1436018,53.26349594,120.8801059
57,1771,90,2384.481866,3168.518855,1397.518855,784.0369889,613.4818661
58,1806,75,1971,2584.293568,778.2935676,613.2935676,165
59,1835,72,1965.97328,2484.008993,649.0089928,518.0357131,130.9732797
60,1873,72,2133.345924,2285.141839,412.1418393,151.7959156,260.3459237
61,1907,72,2405.334225,2693.421018,786.4210177,288.0867925,498.3342252
62,1930,67,1994.078077,2363.168852,433.1688521,369.0907747,64.07807737
63,1956,48,2189.205918,2712.312025,756.3120254,523.1061078,233.2059176
64,1992,83,2309.327906,3322.714802,1330.714802,1013.386896,317.3279061
65,2028,34,2224.956848,2818.444843,790.4448429,593.4879948,196.9568481
66,2061,43,2168.967588,2475.830749,414.8307494,306.8631617,107.9675877
67,2101,43,2356.156815,2771.051982,670.051982,414.8951675,255.1568145
68,2138,43,2796.259068,2938.947539,800.9475394,142.6884719,658.2590675
69,2162,95,2218.586217,2917.894447,755.894447,699.3082296,56.5862174
70,2198,72,2473.078171,3021.694612,823.6946123,548.6164416,275.0781707
71,2229,69,2672.410645,3244.46746,1015.46746,572.0568154,443.4106449
72,2264,43,2324.083276,2741.966034,477.9660342,417.8827587,60.08327554
73,2300,37,2356.435804,3227.220508,927.2205078,870.7847036,56.43580424
74,2326,37,2981.467009,3606.726155,1280.726155,625.2591463,655.4670091
75,2355,37,2534.011173,3035.305498,680.3054976,501.2943247,179.0111728
76,2389,1,2513.100766,2625.741788,236.7417882,112.6410227,124.1007655
77,2429,1,3267.473017,4195.990653,1766.990653,928.5176358,838.4730169
78,2462,1,2981.953844,3658.998156,1196.998156,677.0443117,519.9538441
79,2500,3,2615.260574,2931.251081,431.2510805,315.9905062,115.2605744
80,2526,3,2890.627207,3383.82595,857.8259498,493.1987429,364.6272069
81,2561,3,3458.283121,4126.882404,1565.882404,668.5992821,897.2831214
82,2597,90,2632.468296,3372.027624,775.027624,739.5593282,35.4682957
83,2630,6,2766.499084,3382.762015,752.7620151,616.2629309,136.4990842
84,2661,43,2776.24756,3075.508315,414.5083155,299.2607559,115.2475596
85,2691,81,2787.332757,2973.636272,282.6362724,186.3035158,96.33275663
86,2724,81,2881.9177,3187.518747,463.5187472,305.6010471,157.9177001
87,2756,81,3715.633263,4555.94392,1799.94392,840.3106568,959.6332633
88,2788,97,3077.249028,3607.735597,819.7355968,530.4865691,289.2490277
89,2820,85,2893.790243,3649.473378,829.4733779,755.6831347,73.79024326
90,2845,85,3305.792795,3819.653671,974.6536712,513.8608761,460.7927951
91,2873,85,3463.147439,4329.98191,1456.98191,866.8344709,590.1474392
92,2903,81,3255.933421,3763.473568,860.4735677,507.5401462,352.9334215
93,2942,14,3044.004902,3235.381494,293.3814939,191.3765921,102.0049018
94,2974,14,3553.332374,4412.235163,1438.235163,858.9027884,579.3323744
95,3020,14,3864.647264,4363.433791,1343.433791,498.7865275,844.6472637
96,3048,23,3106.240879,3501.059825,453.059825,394.8189458,58.24087911
97,3076,23,3338.710868,3663.872366,587.872366,325.1614983,262.7108677
98,3100,23,3346.856233,3865.02223,765.02223,518.1659966,246.8562335
99,3131,23,3656.000952,3942.6994,811.6994002,286.6984479,525.0009524