Average Waiting Time_Default(s),Average Waiting Time_Anticipation(s),Difference(s),if Anticipation is better,,,,,,,,,
1628.200991,851.152279,777.0487116,1,,,,,,,,,
1816.210688,882.4940796,933.7166082,1,,,,,,,,,
1910.143642,837.695513,1072.448129,1,,,,,,,,,
2002.041503,853.4658871,1148.575615,1,,,,,,,,,
2929.618931,856.7759322,2072.842999,1,,,,,,,,,
3988.101228,856.1880813,3131.913147,1,,,,,,,,,
4154.179151,877.7081268,3276.471024,1,,,,,,,,,
4211.018111,851.6875779,3359.330533,1,,,,,,Default,Proposed,Difference ,% of simulations better
4562.741727,891.5826352,3671.159092,1,,,,,,11882.51006,1001.262009,10881.24805,1
4777.638444,902.5415454,3875.096898,1,,,,,,,,,
4842.442654,873.5862812,3968.856373,1,,,,,,,,,
5117.921066,868.6385931,4249.282473,1,,,,,,,,,
5193.995017,908.8814161,4285.113601,1,,,,,,,,,
5396.767695,854.4461124,4542.321583,1,,,,,,,,,
5786.189234,868.4105169,4917.778717,1,,,,,,,,,
6098.43592,885.2494756,5213.186445,1,,,,,,,,,
6134.298011,904.9146729,5229.383338,1,,,,,,,,,
6399.899362,889.5125736,5510.386788,1,,,,,,,,,
6966.597765,893.8042639,6072.793501,1,,,,,,,,,
7601.928522,883.8996252,6718.028897,1,,,,,,,,,
7719.958863,872.2163306,6847.742533,1,,,,,,,,,
7928.661063,914.4957134,7014.165349,1,,,,,,,,,
8591.315317,878.9103006,7712.405016,1,,,,,,,,,
9170.252074,930.6018977,8239.650177,1,,,,,,,,,
9171.303351,879.817346,8291.486005,1,,,,,,,,,
9819.490528,913.7182432,8905.772285,1,,,,,,,,,
10035.90101,910.8101259,9125.090886,1,,,,,,,,,
10489.53691,948.0329017,9541.504009,1,,,,,,,,,
10935.91049,902.4340352,10033.47646,1,,,,,,,,,
11133.67088,929.9556883,10203.7152,1,,,,,,,,,
11882.51006,1001.262009,10881.24805,1,,,,,,,,,