,"Average WT, anticipation",WT_minimum,Ratio,,,,
0,960.7462311,517.1736497,1.858,,,,
1,950.7913969,532.5248927,1.785,,,,
2,953.5560354,506.2775871,1.883,,,,
3,977.8666554,527.4105603,1.854,,,,
4,955.2366608,538.1651927,1.775,,,,"""gridSize"": 1000, # unit: m"
5,944.7611701,538.0227581,1.756,,,,"""riderSpeed"":1, # unit m/s"
6,955.2779399,539.5538312,1.77,,,,"""numOrders"":2000,Ê"
7,929.6510645,502.237929,1.851,,,,"""orderLambda"": 30,Ê"
8,947.909174,540.8212273,1.753,,,,"""FPT_avg"": 0,Ê"
9,957.6285416,534.9116005,1.79,,,,"""FPT_sd"":0,"
10,973.1239556,534.1044531,1.822,,,,"""numRiders"": 35,"
11,937.7690579,515.9916329,1.817,,,,"""numRestaurants"": 20,"
12,944.6406526,515.4137279,1.833,,,,
13,940.0978386,523.8137101,1.795,,,,
14,1005.60989,552.6945432,1.819,,,,
15,916.2553952,504.1649354,1.817,,,,
16,933.8238685,512.0564974,1.824,,,,
17,984.4433403,518.7372397,1.898,,,,
18,976.852471,566.087988,1.726,,,,
19,935.054258,493.3619456,1.895,,,,
20,965.6880833,549.176878,1.758,,,,
21,939.6243584,510.5744133,1.84,,,,
22,1028.730583,528.1289166,1.948,,,,
23,962.3759663,538.2870936,1.788,,,,
24,949.2574861,525.820454,1.805,,,,
25,998.3478758,516.9891868,1.931,,,,
26,940.5410066,523.1918231,1.798,,,,
27,945.8788822,526.5442406,1.796,,,,
28,867.6442568,467.8024112,1.855,,,,
29,930.3507033,498.5999305,1.866,,,,