,"Average WT, anticipation",WT_minimum,Ratio
0,951.1082338,543.209147,1.751
1,914.7489437,527.8108465,1.733
2,897.6233183,506.0696319,1.774
3,881.0587479,498.8478592,1.766
4,897.4781052,515.5976577,1.741
5,875.337848,494.5980867,1.77
6,887.0818537,524.7189107,1.691
7,897.6927305,516.7187096,1.737
8,947.84052,543.1259366,1.745
9,858.1898322,489.8547278,1.752
10,911.1777454,517.6707993,1.76
11,886.9422362,503.7941884,1.761
12,861.7955966,504.7606702,1.707
13,852.5748772,475.0345281,1.795
14,879.631482,517.6407459,1.699
15,928.2444578,515.8276799,1.8
16,869.1582189,482.5717456,1.801
17,930.6049928,534.4373038,1.741
18,911.2584852,526.5969803,1.73
19,889.065933,501.0420569,1.774
20,969.516116,558.8395714,1.735
21,896.451565,519.7693518,1.725
22,919.6788537,527.8216451,1.742
23,940.1968469,530.7275765,1.772
24,906.3144266,526.5089084,1.721
25,947.5804498,549.5556179,1.724
26,924.8303728,524.0921001,1.765
27,924.819267,527.4271126,1.753
28,972.9685017,565.3444332,1.721
29,904.7274086,529.2717037,1.709
30,917.8526668,530.0026695,1.732
31,879.5249152,506.4624241,1.737
32,967.981716,565.2024706,1.713
33,901.3481543,517.7748978,1.741
34,910.9359296,535.4875235,1.701
35,894.7435843,509.9917256,1.754
36,956.7791919,534.8240849,1.789
37,872.1051734,492.4263963,1.771
38,912.6826077,537.9393174,1.697
39,918.9331795,513.9892076,1.788
40,916.1026324,526.5950032,1.74
41,913.6964614,528.1645009,1.73
42,962.4992257,532.5216442,1.807
43,934.2804663,551.2161257,1.695
44,894.3537245,511.1755501,1.75
45,928.8268141,521.3293446,1.782
46,921.9914433,533.3370889,1.729
47,876.4276155,489.9358849,1.789
48,892.9839921,515.1773842,1.733
49,929.7511782,524.248729,1.773
50,940.4474743,539.3634432,1.744
51,902.4963033,503.1507967,1.794
52,952.1975094,538.8557282,1.767
53,911.4738719,510.0194514,1.787
54,881.6224265,505.0961359,1.745
55,929.2239083,526.6975118,1.764
56,907.7942617,516.4370768,1.758
57,925.8802562,535.5585596,1.729
58,923.6837204,525.1871032,1.759
59,929.7383747,523.215519,1.777
60,856.7551596,483.1356191,1.773
61,876.9844115,501.0588264,1.75
62,905.8278446,516.4272666,1.754
63,895.7559376,521.7850282,1.717
64,932.9053922,519.0709604,1.797
65,915.6829293,522.6713775,1.752
66,882.8543445,492.9151091,1.791
67,894.0462457,505.8236389,1.768
68,913.4545211,519.0981372,1.76
69,886.7908862,510.5298701,1.737
70,963.9996165,547.7813889,1.76
71,924.749197,522.7475374,1.769
72,920.9547311,529.8046745,1.738
73,902.598561,512.8015427,1.76
74,904.6671898,513.9224129,1.76
75,917.5379895,522.7036812,1.755
76,863.8821764,506.9513624,1.704
77,924.7538027,538.292155,1.718
78,897.690464,511.2130715,1.756
79,976.6000482,563.1079222,1.734
80,918.2594548,515.1211377,1.783
81,903.261161,527.0260526,1.714
82,899.082749,507.4629955,1.772
83,937.5637759,545.7668829,1.718
84,916.7953354,514.7671543,1.781
85,949.58721,543.9282737,1.746
86,924.6992909,543.7880421,1.7
87,915.652035,527.2353753,1.737
88,979.4742955,560.8604268,1.746
89,956.9884708,553.889396,1.728
90,935.4686807,535.0628459,1.748
91,959.0767757,543.1189413,1.766
92,943.8444351,541.6130686,1.743
93,913.3591638,519.7925556,1.757
94,891.0961215,510.2017608,1.747
95,962.3920951,550.5252561,1.748
96,911.0133495,519.2082584,1.755
97,929.5037517,533.1479461,1.743
98,947.2200755,542.4078015,1.746
99,886.1852496,506.5966661,1.749
,,,
,,,
,,,
,,,
,,,1.807