,"Average WT, anticipation",WT_minimum,Ratio,,,,,
0,914.6043077,526.2345168,1.738,,,,,
1,971.7536729,526.637246,1.845,,,,,
2,873.5965503,485.785781,1.798,,,,,
3,921.3135103,546.6607449,1.685,,,,,
4,926.5068247,531.7969529,1.742,,,,,"""gridSize"": 1000, # unit: m"
5,918.4950194,493.6452497,1.861,,,,,"""riderSpeed"":1, # unit m/s"
6,867.6995211,471.0171917,1.842,,,,,"""numOrders"":2000, "
7,904.8197715,531.6069284,1.702,,,,,"""orderLambda"": 30, "
8,899.3069674,517.4978747,1.738,,,,,"""FPT_avg"": 300, "
9,930.6741283,541.7377588,1.718,,,,,"""FPT_sd"":0,"
10,928.0359289,530.3809493,1.75,,,,,"""numRiders"": 30,"
11,953.6013158,542.7813993,1.757,,,,,"""numRestaurants"": 20,"
12,963.1586599,548.767759,1.755,,,,,
13,1782.474369,577.2613645,3.088,,,,,
14,967.1704833,560.0013769,1.727,,,,,
15,979.4872827,528.8610627,1.852,,,,,
16,922.0020802,516.1009169,1.786,,,,,
17,1050.6061,538.6396524,1.95,,,,,
18,895.5927936,510.885881,1.753,,,,,
19,922.9335605,545.1491141,1.693,,,,,
20,905.7089205,523.652328,1.73,,,,,
21,1329.490931,530.7231231,2.505,,,,,
22,965.3899689,514.7741249,1.875,,,,,
23,975.2508761,516.8343023,1.887,,,,,
24,873.9074803,478.4087843,1.827,,,,,
25,962.7023289,542.2207306,1.775,,,,,
26,947.7539488,533.6918101,1.776,,,,,
27,924.5396985,531.6693669,1.739,,,,,
28,976.8241635,533.0458825,1.833,,,,,
29,901.8674732,472.6384518,1.908,,,,,
,,,,,,,,
average,975.2422879,524.9702875,1.8545,,,,,